"pattern","case","rxtype"
"%ACCUPRIL%","include","ace_inhibitors"
"%ACCURETIC%","include","ace_inhibitors"
"%ALTACE%","include","ace_inhibitors"
"%BENAZAPRIL%","include","ace_inhibitors"
"%BENAZEPRIL%","include","ace_inhibitors"
"%BENZAPRIL%","include","ace_inhibitors"
"%CAPOTEN%","include","ace_inhibitors"
"%CAPOZIDE%","include","ace_inhibitors"
"%CAPTOPRIL%","include","ace_inhibitors"
"%CAPTOPTIL%","include","ace_inhibitors"
"%CAPTOTEN%","include","ace_inhibitors"
"%CAPTROPRIL%","include","ace_inhibitors"
"%ENALAP[RT]IL%","include","ace_inhibitors"
"%ENALIPRILAT%","include","ace_inhibitors"
"%ENALPRIL%","include","ace_inhibitors"
"%ENLAPRILAT%","include","ace_inhibitors"
"%FOSINOPRIL%","include","ace_inhibitors"
"%LIS[IOY]NOPR[IOY]L%","include","ace_inhibitors"
"%LISIN %","include","ace_inhibitors"
"%LISIONPRIL%","include","ace_inhibitors"
"%LISNOPRIL%","include","ace_inhibitors"
"%LOTENSIN%","include","ace_inhibitors"
"%MOEXEPRIL%","include","ace_inhibitors"
"%MOEXIPRIL%","include","ace_inhibitors"
"%MONOPRIL%","include","ace_inhibitors"
"%PERINDOPRIL%","include","ace_inhibitors"
"%PRINIVIL%","include","ace_inhibitors"
"%QUINAPRIL%","include","ace_inhibitors"
"%RAM[IA]PRIL%","include","ace_inhibitors"
"%TARKA%","include","ace_inhibitors"
"%TEMOCAPRIL%","include","ace_inhibitors"
"%TRANDOLAP%","include","ace_inhibitors"
"%VAS[EO]RETIC%","include","ace_inhibitors"
"%VASCACE%","include","ace_inhibitors"
"%VASOTEC%","include","ace_inhibitors"
"%ZESTORETIC%","include","ace_inhibitors"
"%ZESTRIL%","include","ace_inhibitors"
"%acarbose%","include","alphaglucose_inhibitors"
"%acrabose%","include","alphaglucose_inhibitors"
"%miglitol%","include","alphaglucose_inhibitors"
"%parmlintide%","include","amylin_analogue"
"%pramlinitide%","include","amylin_analogue"
"%pramlintide%","include","amylin_analogue"
"%ramlintide%","include","amylin_analogue"
"%symlin%","include","amylin_analogue"
"%ADENOCARD%","include","anti_arrhythmics"
"%ADENOSCAN%","include","anti_arrhythmics"
"%ADENOSINE%","include","anti_arrhythmics"
"%AMIOD[AO]RONE%","include","anti_arrhythmics"
"%AMIODARNE%","include","anti_arrhythmics"
"%AMIODAROE%","include","anti_arrhythmics"
"%APRINDINE%","include","anti_arrhythmics"
"%AZIMILIDE%","include","anti_arrhythmics"
"%BRETYLIUM%","include","anti_arrhythmics"
"%BRETYLLIUM%","include","anti_arrhythmics"
"%BRETYYLIUM%","include","anti_arrhythmics"
"%CARDIOQUIN%","include","anti_arrhythmics"
"%CIN-QUIN%","include","anti_arrhythmics"
"%CORDARONE%","include","anti_arrhythmics"
"%DISOPYRAMIDE%","include","anti_arrhythmics"
"%DISOPYRAMINE%","include","anti_arrhythmics"
"%DOFEILIDE%","include","anti_arrhythmics"
"%DOFETILIDE%","include","anti_arrhythmics"
"%DRONEDARONE%","include","anti_arrhythmics"
"%DURAQUIN%","include","anti_arrhythmics"
"%DZZOFETILIDE%","include","anti_arrhythmics"
"%ENCAINAIDE%","include","anti_arrhythmics"
"%ENCAINIDE%","include","anti_arrhythmics"
"%ENCAINIDE%","include","anti_arrhythmics"
"%ENCZZAINIDE%","include","anti_arrhythmics"
"%ENKAID%","include","anti_arrhythmics"
"%ETHMOZINE%","include","anti_arrhythmics"
"%FLECAINIDE%","include","anti_arrhythmics"
"%IBULTILIDE%","include","anti_arrhythmics"
"%IBUTILIDE%","include","anti_arrhythmics"
"%IBUTLIDE%","include","anti_arrhythmics"
"%INDECAINIDE%","include","anti_arrhythmics"
"%LIDO[ /]%","include","anti_arrhythmics"
"%LIDOC %","include","anti_arrhythmics"
"%LIDOCA%","include","anti_arrhythmics"
"%LIDOCAINE%","include","anti_arrhythmics"
"%MEXILET[IE]NE%","include","anti_arrhythmics"
"%MEXILITINE%","include","anti_arrhythmics"
"%MEXITIL%","include","anti_arrhythmics"
"%MOR[AI]CIZINE%","include","anti_arrhythmics"
"%MORRICIZINE%","include","anti_arrhythmics"
"%NORPACE%","include","anti_arrhythmics"
"%PACERONE%","include","anti_arrhythmics"
"%PROCAIN%","include","anti_arrhythmics"
"%PROCAN%","include","anti_arrhythmics"
"%PROCANBID%","include","anti_arrhythmics"
"%PRONESTYL%","include","anti_arrhythmics"
"%PROPAFENONE%","include","anti_arrhythmics"
"%QUINAGLUTE%","include","anti_arrhythmics"
"%QUINDINE%","include","anti_arrhythmics"
"%QUINIDEX%","include","anti_arrhythmics"
"%QUINIDINE%","include","anti_arrhythmics"
"%QUINORA%","include","anti_arrhythmics"
"%RYTHMOL%","include","anti_arrhythmics"
"%SOTALOL%","include","anti_arrhythmics"
"%TAMBOCOR%","include","anti_arrhythmics"
"%TIKOSYN%","include","anti_arrhythmics"
"%TOCAINID%","include","anti_arrhythmics"
"%TON[OA]CARD%","include","anti_arrhythmics"
"%VERNAKALANT%","include","anti_arrhythmics"
"%XYLOCAINE%","include","anti_arrhythmics"
"%XYLOCARD%","include","anti_arrhythmics"
"%ANTACID%","exclude","anti_arrhythmics"
"%BENADR%","exclude","anti_arrhythmics"
"%CEFTRIA%","exclude","anti_arrhythmics"
"%CREAM%","exclude","anti_arrhythmics"
"%DEXAMETH%","exclude","anti_arrhythmics"
"%DEXTROMETH%","exclude","anti_arrhythmics"
"%DIPH%","exclude","anti_arrhythmics"
"%GEL%","exclude","anti_arrhythmics"
"%HYDROCORT%","exclude","anti_arrhythmics"
"%JELLY%","exclude","anti_arrhythmics"
"%LIDO V%","exclude","anti_arrhythmics"
"%MAALOX%","exclude","anti_arrhythmics"
"%MOUTH%","exclude","anti_arrhythmics"
"%NYSTATIN%","exclude","anti_arrhythmics"
"%OINT%","exclude","anti_arrhythmics"
"%PENICILLIN%","exclude","anti_arrhythmics"
"%PROCAINE%","exclude","anti_arrhythmics"
"%V LIDO%","exclude","anti_arrhythmics"
"%VIS%","exclude","anti_arrhythmics"
"%WASH%","exclude","anti_arrhythmics"
"NOT","exclude","anti_arrhythmics"
"% WARF %","include","anti_coagulants"
"%[ -]RIVA %","include","anti_coagulants"
"%[- ]HEPAR[/ ]%","include","anti_coagulants"
"%ACENOCOUMAROL%","include","anti_coagulants"
"%ANGIOMAX%","include","anti_coagulants"
"%ANISINDIONE%","include","anti_coagulants"
"%ANISINDIONE%","include","anti_coagulants"
"%ANTICOAG%","include","anti_coagulants"
"%APIX%","include","anti_coagulants"
"%APIXABAN%","include","anti_coagulants"
"%ARDEPARIN%","include","anti_coagulants"
"%ARGATROBAN%","include","anti_coagulants"
"%ARIXTRA%","include","anti_coagulants"
"%AVITENE%","include","anti_coagulants"
"%BETRIXABAN%","include","anti_coagulants"
"%BISHYDROXYCOUMARIN%","include","anti_coagulants"
"%BIVALIRUD%","include","anti_coagulants"
"%BIVALRUDIN%","include","anti_coagulants"
"%CALCIPARINE%","include","anti_coagulants"
"%CLEXANE%","include","anti_coagulants"
"%COUMADIN%","include","anti_coagulants"
"%DABIGAT%","include","anti_coagulants"
"%DALETPARIN%","include","anti_coagulants"
"%DALTEPARIN%","include","anti_coagulants"
"%DANAPAROID%","include","anti_coagulants"
"%DANAPROID%","include","anti_coagulants"
"%DELTAPARIN%","include","anti_coagulants"
"%DESIRUDIN%","include","anti_coagulants"
"%DICUMAROL%","include","anti_coagulants"
"%EDOXABAN%","include","anti_coagulants"
"%EMBOLEX%","include","anti_coagulants"
"%ENOXAP%","include","anti_coagulants"
"%ENOXPARIN%","include","anti_coagulants"
